,IncomeID,UserID,Date,Amount,IncomeSource,Month
0,1,1,2024-01-01,73687,Salary,2024-01
1,2,1,2024-02-01,67729,Salary,2024-02
2,3,1,2024-03-01,67305,Salary,2024-03
3,4,1,2024-04-01,67345,Salary,2024-04
4,5,1,2024-05-01,72465,Salary,2024-05
5,6,1,2024-06-01,68779,Salary,2024-06
6,7,1,2024-07-01,67315,Salary,2024-07
7,8,1,2024-08-01,73251,Salary,2024-08
8,9,1,2024-09-01,65156,Salary,2024-09
9,10,1,2024-10-01,73917,Salary,2024-10
10,11,1,2024-11-01,72360,Salary,2024-11
11,12,1,2024-12-01,65944,Salary,2024-12
12,13,2,2024-01-01,66404,Salary,2024-01
13,14,2,2024-02-01,59294,Salary,2024-02
14,15,2,2024-03-01,61792,Salary,2024-03
15,16,2,2024-04-01,64006,Salary,2024-04
16,17,2,2024-05-01,67048,Salary,2024-05
17,18,2,2024-06-01,63257,Salary,2024-06
18,19,2,2024-07-01,62327,Salary,2024-07
19,20,2,2024-08-01,61717,Salary,2024-08
20,21,2,2024-09-01,64345,Salary,2024-09
21,22,2,2024-10-01,59646,Salary,2024-10
22,23,2,2024-11-01,66384,Salary,2024-11
23,24,2,2024-12-01,63916,Salary,2024-12
24,25,3,2024-01-01,80857,Salary,2024-01
25,26,3,2024-02-01,79729,Salary,2024-02
26,27,3,2024-03-01,79219,Salary,2024-03
27,28,3,2024-04-01,78094,Salary,2024-04
28,29,3,2024-05-01,75192,Salary,2024-05
29,30,3,2024-06-01,71840,Salary,2024-06
30,31,3,2024-07-01,76465,Salary,2024-07
31,32,3,2024-08-01,81437,Salary,2024-08
32,33,3,2024-09-01,77892,Salary,2024-09
33,34,3,2024-10-01,81772,Salary,2024-10
34,35,3,2024-11-01,74162,Salary,2024-11
35,36,3,2024-12-01,71957,Salary,2024-12
36,37,4,2024-01-01,50998,Salary,2024-01
37,38,4,2024-02-01,52297,Salary,2024-02
38,39,4,2024-03-01,50930,Salary,2024-03
39,40,4,2024-04-01,56930,Salary,2024-04
40,41,4,2024-05-01,51283,Salary,2024-05
41,42,4,2024-06-01,50666,Salary,2024-06
42,43,4,2024-07-01,53713,Salary,2024-07
43,44,4,2024-08-01,53067,Salary,2024-08
44,45,4,2024-09-01,51657,Salary,2024-09
45,46,4,2024-10-01,49446,Salary,2024-10
46,47,4,2024-11-01,56703,Salary,2024-11
47,48,4,2024-12-01,50033,Salary,2024-12
48,49,5,2024-01-01,60910,Salary,2024-01
49,50,5,2024-02-01,55117,Salary,2024-02
50,51,5,2024-03-01,62315,Salary,2024-03
51,52,5,2024-04-01,59664,Salary,2024-04
52,53,5,2024-05-01,62594,Salary,2024-05
53,54,5,2024-06-01,62280,Salary,2024-06
54,55,5,2024-07-01,56312,Salary,2024-07
55,56,5,2024-08-01,55824,Salary,2024-08
56,57,5,2024-09-01,61130,Salary,2024-09
57,58,5,2024-10-01,63122,Salary,2024-10
58,59,5,2024-11-01,58862,Salary,2024-11
59,60,5,2024-12-01,64331,Salary,2024-12
60,61,6,2024-01-01,87457,Salary,2024-01
61,62,6,2024-02-01,86625,Salary,2024-02
62,63,6,2024-03-01,87063,Salary,2024-03
63,64,6,2024-04-01,86944,Salary,2024-04
64,65,6,2024-05-01,87008,Salary,2024-05
65,66,6,2024-06-01,89571,Salary,2024-06
66,67,6,2024-07-01,89291,Salary,2024-07
67,68,6,2024-08-01,81741,Salary,2024-08
68,69,6,2024-09-01,90480,Salary,2024-09
69,70,6,2024-10-01,88302,Salary,2024-10
70,71,6,2024-11-01,83672,Salary,2024-11
71,72,6,2024-12-01,84829,Salary,2024-12
72,73,7,2024-01-01,71480,Salary,2024-01
73,74,7,2024-02-01,68890,Salary,2024-02
74,75,7,2024-03-01,73696,Salary,2024-03
75,76,7,2024-04-01,73360,Salary,2024-04
76,77,7,2024-05-01,71395,Salary,2024-05
77,78,7,2024-06-01,71128,Salary,2024-06
78,79,7,2024-07-01,69768,Salary,2024-07
79,80,7,2024-08-01,77988,Salary,2024-08
80,81,7,2024-09-01,77017,Salary,2024-09
81,82,7,2024-10-01,70832,Salary,2024-10
82,83,7,2024-11-01,76288,Salary,2024-11
83,84,7,2024-12-01,70466,Salary,2024-12
84,85,8,2024-01-01,61030,Salary,2024-01
85,86,8,2024-02-01,62718,Salary,2024-02
86,87,8,2024-03-01,57810,Salary,2024-03
87,88,8,2024-04-01,65915,Salary,2024-04
88,89,8,2024-05-01,61732,Salary,2024-05
89,90,8,2024-06-01,58815,Salary,2024-06
90,91,8,2024-07-01,60035,Salary,2024-07
91,92,8,2024-08-01,57666,Salary,2024-08
92,93,8,2024-09-01,66084,Salary,2024-09
93,94,8,2024-10-01,66298,Salary,2024-10
94,95,8,2024-11-01,57419,Salary,2024-11
95,96,8,2024-12-01,63106,Salary,2024-12
96,97,9,2024-01-01,57021,Salary,2024-01
97,98,9,2024-02-01,59358,Salary,2024-02
98,99,9,2024-03-01,53458,Salary,2024-03
99,100,9,2024-04-01,54090,Salary,2024-04
100,101,9,2024-05-01,57773,Salary,2024-05
101,102,9,2024-06-01,52894,Salary,2024-06
102,103,9,2024-07-01,55566,Salary,2024-07
103,104,9,2024-08-01,59195,Salary,2024-08
104,105,9,2024-09-01,51722,Salary,2024-09
105,106,9,2024-10-01,61595,Salary,2024-10
106,107,9,2024-11-01,61262,Salary,2024-11
107,108,9,2024-12-01,52778,Salary,2024-12
108,109,10,2024-01-01,77731,Salary,2024-01
109,110,10,2024-02-01,74877,Salary,2024-02
110,111,10,2024-03-01,79336,Salary,2024-03
111,112,10,2024-04-01,77424,Salary,2024-04
112,113,10,2024-05-01,76364,Salary,2024-05
113,114,10,2024-06-01,70466,Salary,2024-06
114,115,10,2024-07-01,74847,Salary,2024-07
115,116,10,2024-08-01,76999,Salary,2024-08
116,117,10,2024-09-01,76183,Salary,2024-09
117,118,10,2024-10-01,73185,Salary,2024-10
118,119,10,2024-11-01,78022,Salary,2024-11
119,120,10,2024-12-01,73250,Salary,2024-12
